City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
466,jeddah,21.5169,39.2192,31.92,79,0,2.06,SA,1718762137
467,hatillo,18.4863,-66.8254,27.7,82,41,1.34,PR,1718762137
468,st. john's,47.5649,-52.7093,15.66,72,75,13.89,CA,1718762138
469,mukalla,14.5425,49.1242,28.71,81,100,2.55,YE,1718762138
470,atotonilco el grande,20.2833,-98.6667,17.95,67,3,2.2,MX,1718762138
471,antofagasta,-23.65,-70.4,15.6,85,28,0.26,CL,1718762138
472,katima mulilo,-17.5,24.2667,11.0,64,0,1.94,NA,1718762139
473,as sulayyil,20.4607,45.5779,27.14,12,1,2.49,SA,1718762139
474,island harbour,50.724,-1.2758,13.88,83,7,5.21,GB,1718762139
475,huanuco,-9.9329,-76.2415,16.37,94,93,1.57,PE,1718762139
476,tulsipur,28.131,82.2973,30.3,51,50,2.84,NP,1718762140
477,miyako,39.6367,141.9525,22.88,66,8,2.62,JP,1718762140
478,lompoc,34.6391,-120.4579,21.5,69,0,5.14,US,1718762052
479,baruun-urt,46.6806,113.2792,25.31,40,100,1.7,MN,1718762140
480,praia da vitoria,38.7333,-27.0667,18.2,77,20,3.57,PT,1718762141
481,velikiy ustyug,60.7644,46.3106,16.68,99,99,2.26,RU,1718762141
482,magburaka,8.7167,-11.95,22.02,99,86,0.99,SL,1718762141
483,benguela,-12.5763,13.4055,19.6,85,0,0.77,AO,1718762142
484,brasileia,-11.0161,-68.7481,25.55,64,11,1.63,BR,1718762142
485,koch bihar,26.3167,89.4333,25.46,94,100,3.92,IN,1718762142
486,khanty-mansiysk,61.0042,69.0019,14.06,47,0,4.0,RU,1718762143
487,usogorsk,63.4106,48.6872,17.0,69,100,4.97,RU,1718762143
488,high springs,29.8269,-82.5968,25.77,86,99,0.45,US,1718762143
489,rucava,56.1585,21.1619,13.95,78,100,2.07,LV,1718762143
490,rio gallegos,-51.6226,-69.2181,-0.97,100,100,7.72,AR,1718762144
491,port blair,11.6667,92.75,30.02,79,40,4.12,IN,1718762144
492,cuito,-12.3833,16.9333,9.24,40,0,0.39,AO,1718762144
493,saint-pierre,-21.3393,55.4781,17.82,68,75,4.12,RE,1718762144
494,swakopmund,-22.6833,14.5333,13.88,85,0,0.89,NA,1718762145
495,cootamundra,-34.65,148.0333,9.97,51,3,2.15,AU,1718762145
496,aberdeen,57.1437,-2.0981,7.89,93,20,3.09,GB,1718762145
497,el jadid,33.2549,-8.506,19.13,75,30,3.71,MA,1718762145
498,al kharijah,25.4514,30.5464,27.58,29,0,4.38,EG,1718762146
499,tandalti,13.0167,31.8667,29.34,56,48,4.09,SD,1718762146
500,sweetwater,25.7634,-80.3731,28.9,79,40,7.2,US,1718762146
501,alpena,45.0617,-83.4327,29.18,58,0,5.14,US,1718762147
502,gao,16.6362,1.637,34.31,27,3,2.11,ML,1718762147
503,hanzhong,33.0728,107.0303,25.51,70,100,0.63,CN,1718762147
504,az zawr,29.4425,48.2747,38.34,46,0,4.18,KW,1718762148
505,ta`u,-14.2336,-169.5144,27.73,76,96,8.06,AS,1718762148
506,egilsstadir,65.2653,-14.3948,3.95,93,75,1.03,IS,1718762148
507,casas grandes,30.3667,-107.95,29.37,14,0,7.57,MX,1718762148
508,korsakov,46.6328,142.7813,18.91,65,26,1.79,RU,1718762149
509,herisau,47.3862,9.2792,16.57,79,46,2.0,CH,1718762149
510,iglino,54.8324,56.4126,20.05,92,99,2.95,RU,1718762149
511,bayanaul,50.7889,75.6956,14.41,63,0,4.03,KZ,1718762149
512,ginir,7.1333,40.7,13.69,84,98,3.31,ET,1718762150
513,linxia chengguanzhen,35.6003,103.2064,20.3,54,92,1.75,CN,1718762150
514,nadi,-17.8,177.4167,30.0,66,20,5.66,FJ,1718762036
515,forster,-32.1667,152.5167,16.32,58,0,3.07,AU,1718762150
516,nadym,65.5333,72.5167,2.67,57,48,9.77,RU,1718762151
517,roma,43.2128,-75.4557,28.08,86,0,1.54,US,1718762088
518,tangalle,6.024,80.7911,26.09,82,98,4.68,LK,1718762151
519,zhalantun,48.0,122.7167,23.5,56,93,7.93,CN,1718762151
520,zhongshu,24.5167,103.7667,21.09,88,100,3.67,CN,1718762152
521,bokoro,12.3807,17.0568,31.97,44,73,2.98,TD,1718762152
522,freetown,8.484,-13.2299,24.33,88,99,0.98,SL,1718761927
523,richfield,44.8833,-93.283,28.96,71,100,7.72,US,1718762153
524,i-n-salah,27.1935,2.4607,36.87,10,7,5.97,DZ,1718762153
525,mogadishu,2.0371,45.3438,25.87,88,99,4.85,SO,1718762153
526,cumaral,4.2708,-73.4867,21.93,94,96,2.13,CO,1718762153
527,elko,41.0002,-115.5012,20.01,13,3,3.58,US,1718762154
528,didwana,27.4,74.5667,31.19,54,1,10.35,IN,1718762154
529,nabire,-3.3667,135.4833,28.42,74,96,0.79,ID,1718762154
530,burry port,51.6843,-4.2469,12.18,87,20,3.6,GB,1718762155
531,el trebol,-32.2008,-61.7014,16.68,87,25,0.89,AR,1718762155
532,plastun,44.7561,136.2939,21.01,55,63,2.86,RU,1718762155
533,port hedland,-20.3167,118.5667,26.03,44,51,6.69,AU,1718762155
534,castelo,-20.6036,-41.1847,19.41,76,0,2.06,BR,1718762156
535,tambuwal,12.4039,4.6469,26.88,65,100,5.36,NG,1718762156
536,arno,60.1167,18.6333,12.66,88,10,3.91,SE,1718762156
537,zhigalovo,54.8097,105.1578,25.01,55,86,0.79,RU,1718762156
538,guiuan,11.0333,125.7247,29.52,67,100,1.41,PH,1718762157
539,ataq,14.5377,46.8319,26.31,44,96,3.54,YE,1718762157
540,aktau,43.65,51.2,25.32,71,50,6.52,KZ,1718762157
541,crucecita,-28.95,-58.9833,18.77,97,40,1.67,AR,1718762158
542,ambodifotatra,-16.9833,49.85,24.29,64,61,7.27,MG,1718762158
543,tiznit,29.5833,-9.5,17.06,83,3,1.56,MA,1718762158
544,villa canas,-34.0057,-61.6076,16.07,10,100,2.4,AR,1718762158
545,changyon,38.2508,125.0961,30.69,29,89,1.82,KP,1718762159
546,doka,13.5167,35.7667,24.72,75,100,4.41,SD,1718762159
547,lodja,-3.4833,23.4333,20.62,50,7,1.12,CD,1718762159
548,tarauaca,-8.1614,-70.7656,26.57,68,100,1.51,BR,1718762159
549,laghouat,33.8,2.8651,30.48,24,100,3.08,DZ,1718762160
550,nyaunglebin,17.95,96.7333,26.04,90,100,2.03,MM,1718762160
551,tarko-sale,64.9225,77.785,2.05,73,60,8.61,RU,1718762160
552,ephraim,39.3597,-111.5863,16.26,24,96,2.48,US,1718762142
553,monroeville,40.4212,-79.7881,27.2,78,100,2.3,US,1718762161
554,vratsa,43.21,23.5625,20.89,68,0,1.83,BG,1718762161
555,sogne,58.0833,7.8167,11.5,93,12,7.1,NO,1718762162
556,antonio enes,-16.2325,39.9086,22.49,79,58,2.43,MZ,1718762162
557,paraiso,9.8383,-83.8656,19.12,99,100,0.9,CR,1718762162
558,betio village,1.358,172.9211,32.02,75,12,5.8,KI,1718762163
559,undurkhaan,47.3194,110.6556,20.44,64,100,4.58,MN,1718762163
560,kalmunai,7.4167,81.8167,27.25,74,100,3.84,LK,1718762163
561,san jorge,-31.8962,-61.8598,16.58,87,0,3.64,AR,1718762163
562,sarangani,5.4033,125.4636,26.09,87,100,6.35,PH,1718762164
563,bousso,10.4795,16.7117,26.97,62,98,2.08,TD,1718762164
564,maloye ganyushkino,46.6,49.2667,28.18,42,100,3.86,KZ,1718762164
565,otukpa,7.0892,7.6499,21.7,96,81,2.17,NG,1718762165
566,sibolga,1.7427,98.7792,28.27,68,95,0.44,ID,1718762165
567,coahuayana de hidalgo,18.7,-103.6583,25.7,84,100,2.47,MX,1718762165
568,adalaj,23.1667,72.5833,29.92,66,38,6.17,IN,1718762165
569,souillac,-20.5167,57.5167,21.21,64,40,3.09,MU,1718762166
570,kapit,2.0167,112.9333,27.39,89,97,0.61,MY,1718762166
571,yinchuan,38.4681,106.2731,29.41,32,100,2.43,CN,1718762166
572,san andres,12.5847,-81.7006,29.01,84,20,2.57,CO,1718762167
573,lauro de freitas,-12.8944,-38.3272,26.01,78,40,5.66,BR,1718762167
574,rio de janeiro,-22.9028,-43.2075,24.98,61,0,2.06,BR,1718761914
